source_site,food_class,query,recipe_name,ingredients_text,calories,protein,fat,carbs,source_url,scraped_at,normalized_recipe_name,normalized_source_url,drop_reason
bbc_good_food,burger,burger,Soft burger buns,200ml whole milk plus extra for brushing 50g unsalted butter 500g plain flour plus extra for dusting 1 tbsp caster sugar 7g sachet fast-action dried yeast 1 egg beaten sesame seeds (optional),210.0,6.0,5.0,35.0,https://www.bbcgoodfood.com/recipes/soft-burger-buns,2026-05-12 00:34:33,soft burger buns,https www bbcgoodfood com recipes soft-burger-buns,burger_buns_only
bbc_good_food,burger,burger,Classic burger sauce,3 tbsp mayonnaise 2 tbsp ketchup 25g cornichons drained and finely chopped 1 tbsp American mustard,61.0,0.4,1.0,2.0,https://www.bbcgoodfood.com/recipes/classic-burger-sauce,2026-05-12 00:34:52,classic burger sauce,https www bbcgoodfood com recipes classic-burger-sauce,burger_sauce_only
bbc_good_food,burger,cheeseburger,One-pot cheeseburger pasta,"1 tbsp olive oil 1 large onion chopped 500g minced beef 2 tomatoes chopped 1 tbsp Worcestershire sauce 500ml warm beef stock 300g fusilli or other pasta shape 100ml milk 125g mature cheddar coarsely grated, plus extra to serve 1 tbsp mustard 1 tbsp ketchup plus extra to serve 50-70g pickles chopped sliced dill pickles and/or jalapeños, to serve",687.0,43.0,30.0,57.0,https://www.bbcgoodfood.com/recipes/one-pot-cheeseburger-pasta,2026-05-12 00:35:04,one-pot cheeseburger pasta,https www bbcgoodfood com recipes one-pot-cheeseburger-pasta,burger_pasta_dish
bbc_good_food,pizza,pizza,Cookie dough pizza,185g butter softened 185g golden caster sugar 150g soft light brown sugar 2 medium eggs beaten 2 tsp vanilla extract 335g self raising flour 1 tsp salt 200g chocolate chips 200g dark chocolate melted 25g giant white chocolate buttons 25g mini marshmallows 25g strawberries hulled and sliced,432.0,5.0,21.0,55.0,https://www.bbcgoodfood.com/recipes/cookie-dough-pizza,2026-05-12 00:36:47,cookie dough pizza,https www bbcgoodfood com recipes cookie-dough-pizza,dessert_pizza
bbc_good_food,pizza,pizza,Pizza fondue dip,"180g soft cheese 10g grated parmesan or vegetarian Italian-style hard cheese 100g grated  mozzarella or grated mozzarella &amp; cheddar mix olive oil for the dish and for drizzling 200g pizza sauce or passata 7-8 slices pepperoni (optional) garlic bread crostini or breadsticks, to serve",166.0,7.0,14.0,2.0,https://www.bbcgoodfood.com/recipes/pizza-fondue-dip,2026-05-12 00:36:58,pizza fondue dip,https www bbcgoodfood com recipes pizza-fondue-dip,pizza_dip
bbc_good_food,fries,air fryer chips,Air fryer pasta chips,200g pasta such as farfalle 2 tbsp extra virgin olive oil 2 tsp smoked paprika 1 tsp ground cumin large pinch of dried oregano 1 tsp onion granules,144.0,4.0,4.0,21.0,https://www.bbcgoodfood.com/recipes/air-fryer-pasta-chips,2026-05-12 00:40:17,air fryer pasta chips,https www bbcgoodfood com recipes air-fryer-pasta-chips,pasta_chips_not_fries
bbc_good_food,fries,homemade chips,Homemade hummus with pitta chips,3 pitta breads 5 tbsp olive oil 400g can chickpeas rinsed and drained ½ tsp ground  cumin 1 garlic clove crushed juice 1 lemon,227.0,7.0,11.0,28.0,https://www.bbcgoodfood.com/recipes/homemade-hummus-pitta-chips,2026-05-12 00:40:59,homemade hummus with pitta chips,https www bbcgoodfood com recipes homemade-hummus-pitta-chips,pitta_chips_not_fries
bbc_good_food,fries,homemade chips,Homemade tortilla chips with guacamole & charred tomato salsa,12 corn tortillas 3 tbsp vegetable oil 3 large ripe avocados juice 2  limes ½ small red onion finely diced small handful coriander chopped 2 green chillies deseeded and finely chopped 2 tsp   chipotle paste or ½ tsp Chipotle Tabasco 6 plum tomatoes halved 2 green or jalapeno chillies 8 garlic cloves unpeeled ½  red onion finely diced 2 tbsp coriander roughly chopped juice 1  lime 1 tbsp chipotle paste or Chipotle Tabasco,766.0,15.0,38.0,74.0,https://www.bbcgoodfood.com/recipes/homemade-tortilla-chips-guacamole-charred-tomato-salsa,2026-05-12 00:41:03,homemade tortilla chips with guacamole charred tomato salsa,https www bbcgoodfood com recipes homemade-tortilla-chips-guacamole-charred-tomato-salsa,tortilla_chips_not_fries
bbc_good_food,pasta,pasta,Tomato & pasta soup,2 tbsp olive oil 1 onion chopped 2 celery sticks chopped 2 garlic cloves crushed 1 tbsp tomato purée 400g can chopped tomatoes 400g can chickpeas 150g orzo or other small pasta shapes 700ml vegetable stock 2 tbsp basil pesto crusty bread to serve,349.0,12.0,12.0,45.0,https://www.bbcgoodfood.com/recipes/orzo-tomato-soup,2026-05-12 00:42:33,tomato pasta soup,https www bbcgoodfood com recipes orzo-tomato-soup,pasta_soup
bbc_good_food,pasta,pasta,Hearty pasta soup,"1 tbsp olive oil 2 carrots chopped 1 large onion finely chopped 1l vegetable stock 400g can chopped tomato 200g frozen mixed peas and beans 250g pack  fresh filled tortellini (we used spinach and ricotta) handful of basil leaves (optional) grated parmesan (or vegetarian alternative), to serve",286.0,11.0,9.0,44.0,https://www.bbcgoodfood.com/recipes/hearty-pasta-soup,2026-05-12 00:42:40,hearty pasta soup,https www bbcgoodfood com recipes hearty-pasta-soup,pasta_soup
